"name","price","marque_element","kilometrage_element","etat_element","nombre_portes_element","origine_element","modele_element","annee_modele_element","premiere_main_element","type_element","secteur_element","CVs","moteur","Manuelle"
Audi A4 Diesel Automatique 2020 � Rabat,PRIX NON SPCIFI,Audi,65 000 - 69 999,Neuf,5,WW au Maroc,A4,2020,Oui,"Voitures d'occasion, � vendre",Hay Riad,8 CV,Diesel,Automatique
Mercedes-Benz C 250 diesel,46000 DH,Mercedes-Benz,250 000 - 299 999,Tr�s bon,,D�douan�e,250,1998,Non,"Voitures d'occasion, � vendre",Autre secteur,8 CV,Diesel,Manuelle
Fiat Tipo Diesel Manuelle 2019 � Rabat,PRIX NON SPCIFI,Fiat,120 000 - 129 999,Excellent,5,WW au Maroc,TIPO,2019,Oui,"Voitures d'occasion, � vendre",Guich Oudaya,6 CV,Diesel,Manuelle
voiture i 10 avendre bon �tat,48000 DH,Hyundai,150 000 - 159 999,Bon,5,WW au Maroc,i 10,2012,Non,"Voitures d'occasion, � vendre",Anfa,6 CV,Essence,Manuelle
toyota,65000 DH,Toyota,45 000 - 49 999,Tr�s bon,5,WW au Maroc,Hilux,2001,Oui,"Voitures d'occasion, � vendre",A�n Chock,6 CV,Diesel,Manuelle
kia sorento Diesel,93000 DH,Kia,180 000 - 189 999,Excellent,5,WW au Maroc,Sorento,2012,Non,"Voitures d'occasion, � vendre",A�n Chock,9 CV,Diesel,Manuelle
Jaguar XE Diesel Automatique 2016 � T�touan,240000 DH,Jaguar,120 000 - 129 999,Tr�s bon,,WW au Maroc,XE,2016,,"Voitures d'occasion, � vendre",Al Azhar,8 CV,Diesel,Automatique
Mercedes-Benz Classe E Diesel Automatique 2024,PRIX NON SPCIFI,Mercedes-Benz,0 - 4 999,Neuf,5,Import�e neuve,Classe E,2024,Oui,"Voitures d'occasion, � vendre",Ain Sebaa,8 CV,Diesel,Automatique
Range Rover Evoque Diesel Automatique 2018,245000 DH,Land Rover,140 000 - 149 999,Excellent,5,WW au Maroc,Range Rover Evoque,2018,Oui,"Voitures d'occasion, � vendre",Californie,8 CV,Diesel,Automatique
Fiat Doblo Maxi Frigorifique Diesel WW,115000 DH,Fiat,140 000 - 149 999,Excellent,5,WW au Maroc,Doblo,2019,Oui,"Voitures d'occasion, � vendre",Autre secteur,6 CV,Diesel,Manuelle
JEEP WRANGLER SAHARA,PRIX NON SPCIFI,Jeep,45 000 - 49 999,Excellent,3,WW au Maroc,Wrangler,2005,Oui,"Voitures d'occasion, � vendre",Oasis,17 CV,Essence,Automatique
rolls royce ghost,PRIX NON SPCIFI,Rolls-Royce,55 000 - 59 999,Neuf,5,Import�e neuve,Wraith,2018,Oui,"Voitures d'occasion, � vendre",Oasis,34 CV,Essence,Automatique
HONDA ACCORD PLATINIUM 2012TOUTES OPTIONS,124000 DH,Honda,190 000 - 199 999,Tr�s bon,5,WW au Maroc,Accord,2012,Non,"Voitures d'occasion, � vendre",Centre Ville,9 CV,Diesel,Automatique
Renault Kangoo Diesel Manuelle 2019 � T�touan,135000 DH,Renault,85 000 - 89 999,Excellent,5,WW au Maroc,Kangoo,2019,Oui,"Voitures d'occasion, � vendre",Centre ville,6 CV,Diesel,Manuelle
RS Megane,290000 DH,Renault,35 000 - 39 999,Excellent,5,WW au Maroc,Megane,2020,Non,"Voitures d'occasion, � vendre",Al aroui,10 CV,Essence,Automatique
Land Rover Range Rover Evoque Diesel Automatique,289000 DH,Land Rover,90 000 - 94 999,Excellent,5,WW au Maroc,Range Rover Evoque,2018,Oui,"Voitures d'occasion, � vendre",Ain Sebaa,8 CV,Diesel,Automatique
Volkswagen Touareg Diesel Automatique 2015,158000 DH,Volkswagen,160 000 - 169 999,Excellent,5,WW au Maroc,Touareg,2015,Non,"Voitures d'occasion, � vendre",Oulfa,12 CV,Diesel,Automatique
ford kuga boite automatique,140000 DH,Ford,170 000 - 179 999,Tr�s bon,5,D�douan�e,Kuga,2013,Non,"Voitures d'occasion, � vendre",Sidi Moumen,8 CV,Diesel,Automatique
AUDI A8 SIGNATURE 50 TDI,PRIX NON SPCIFI,Audi,120 000 - 129 999,Excellent,5,WW au Maroc,A8,2018,Oui,"Voitures d'occasion, � vendre",Oasis,12 CV,Diesel,Automatique
DS DS 4 Diesel Automatique 2023 à Rabat,PRIX NON SPCIFI,DS,5 000 - 9 999,Excellent,5,WW au Maroc,DS 4,2023,Oui,"Voitures d'occasion, à vendre",Massira,6 CV,Diesel,Automatique
Mercedes-Benz Classe CLA Pack AMG,240000 DH,Mercedes-Benz,120 000 - 129 999,Excellent,5,,Classe CLA,2015,Non,"Voitures d'occasion, à vendre",Maarif,9 CV,Diesel,Automatique
Opel Insignia Diesel Modèle 2016 à Khemisset,109000 DH,Opel,170 000 - 179 999,Très bon,,WW au Maroc,Insignia,2016,,"Voitures d'occasion, à vendre",Toute la ville,8 CV,Diesel,Manuelle
Porsche Macan reprise ok,PRIX NON SPCIFI,Porsche,120 000 - 129 999,Excellent,5,Dédouanée,Macan,2015,Non,"Voitures d'occasion, à vendre",Autre secteur,11 CV,Diesel,Automatique
Palio 2003,PRIX NON SPCIFI,Fiat,120 000 - 129 999,,,,Palio,2003,,"Voitures d'occasion, à vendre",Bled Eljed,7 CV,Essence,Manuelle
Mercedes-Benz 220 Diesel Automatique 2011 à Fès,154000 DH,Mercedes-Benz,190 000 - 199 999,Excellent,5,Dédouanée,220,2011,Oui,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
Peugeot 5008 Diesel Automatique 2019 à Casablanca,240000 DH,Peugeot,110 000 - 119 999,,5,,5008,2019,,"Voitures d'occasion, à vendre",Ain Sebaa,8 CV,Diesel,Automatique
Mercedes-Benz Classe E300 de,PRIX NON SPCIFI,Mercedes-Benz,25 000 - 29 999,Neuf,5,Importée neuve,Classe E,2022,Oui,"Voitures d'occasion, à vendre",Anfa,9 CV,,Automatique
Fiat 500C Cabriolet,160000 DH,Fiat,30 000 - 34 999,Neuf,5,WW au Maroc,500C,2020,Oui,"Voitures d'occasion, à vendre",Anfa,6 CV,Essence,Automatique
BMW Série 318,340000 DH,BMW,80 000 - 84 999,Neuf,5,WW au Maroc,Serie 3,2020,Oui,"Voitures d'occasion, à vendre",Anfa,8 CV,Diesel,Automatique
Volvo Xc60,260000 DH,Volvo,170 000 - 179 999,Neuf,5,WW au Maroc,XC60,2018,Oui,"Voitures d'occasion, à vendre",Anfa,8 CV,Diesel,Automatique
BMW Série 730 Ld,PRIX NON SPCIFI,BMW,120 000 - 129 999,Neuf,5,WW au Maroc,Serie 7,2017,Oui,"Voitures d'occasion, à vendre",Anfa,12 CV,Diesel,Automatique
Mini Country Man diesel,160000 DH,mini,100 000 - 109 999,Neuf,3,WW au Maroc,country man,2016,Oui,"Voitures d'occasion, à vendre",Anfa,8 CV,Diesel,Manuelle
Hyundai i 30 Diesel Manuelle 2018 à Rabat,PRIX NON SPCIFI,Hyundai,80 000 - 84 999,Très bon,5,WW au Maroc,i 30,2018,Oui,"Voitures d'occasion, à vendre",Hay el Fath,6 CV,Diesel,Manuelle
Renault Clio Diesel Manuelle 2018 à Rabat,PRIX NON SPCIFI,Renault,90 000 - 94 999,Neuf,5,WW au Maroc,Clio,2018,Oui,"Voitures d'occasion, à vendre",Hay Riad,6 CV,Diesel,Manuelle
Opel Insignia Diesel 1 er main ✋,110000 DH,Opel,140 000 - 149 999,Excellent,5,WW au Maroc,Insignia,2014,Oui,"Voitures d'occasion, à vendre",Sidi Maarouf,8 CV,Diesel,Manuelle
BMW X5 XDRIVE 30d Pack M,555000 DH,BMW,100 000 - 109 999,Excellent,5,WW au Maroc,X5,2019,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,12 CV,Diesel,Automatique
DS DS 7 Crossback Diesel Automatique 2019,PRIX NON SPCIFI,DS,90 000 - 94 999,Excellent,5,WW au Maroc,DS 7 Crossback,2019,Oui,"Voitures d'occasion, à vendre",Almaz,8 CV,Diesel,Automatique
Nissan Qashqai Diesel Manuelle 2019 à Casablanca,PRIX NON SPCIFI,Nissan,90 000 - 94 999,Excellent,5,WW au Maroc,Qashqai,2019,Oui,"Voitures d'occasion, à vendre",Almaz,6 CV,Diesel,Manuelle
R.R VELAR R DYNAMIC,PRIX NON SPCIFI,Land Rover,200 000 - 249 999,Très bon,5,Dédouanée,Range Rover,2018,Non,"Voitures d'occasion, à vendre",Centre,15 CV,Diesel,Automatique
Toyota Land Cruiser Prado Diesel Manuelle 2018,199000 DH,Toyota,120 000 - 129 999,Neuf,5,WW au Maroc,land_cruiser_prado,2018,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,12 CV,Diesel,Manuelle
Porsche Cayenne Diesel Automatique 2016,PRIX NON SPCIFI,Porsche,110 000 - 119 999,Neuf,5,WW au Maroc,Cayenne,2016,Non,"Voitures d'occasion, à vendre",Ain Sebaa,12 CV,Diesel,Automatique
Audi Q8 Sline 50 tdi,PRIX NON SPCIFI,Audi,40 000 - 44 999,Excellent,5,Importée neuve,Q8,2019,Oui,"Voitures d'occasion, à vendre",Hay el Fath,12 CV,Diesel,Automatique
range rover sport dynamic hse,580000 DH,Land Rover,100 000 - 109 999,Très bon,5,WW au Maroc,Range Rover Sport,2018,Non,"Voitures d'occasion, à vendre",Centre ville,12 CV,Diesel,Automatique
Skoda Kodiaq Diesel Automatique 2020 à Fès,335000 DH,Skoda,95 000 - 99 999,Excellent,5,WW au Maroc,Kodiaq,2020,Oui,"Voitures d'occasion, à vendre",Agdal,8 CV,Diesel,Automatique
Dacia Sandero Stepway Diesel Manuelle 2019 à Rabat,118000 DH,Dacia,55 000 - 59 999,Excellent,5,WW au Maroc,sandero_stepway,2019,Oui,"Voitures d'occasion, à vendre",Hay Riad,6 CV,Diesel,Manuelle
Land Rover Range Rover Vogue,PRIX NON SPCIFI,Land Rover,20 000 - 24 999,Excellent,5,Importée neuve,range_rover_vogue,2022,,"Voitures d'occasion, à vendre",Californie,12 CV,Diesel,Automatique
KIFAL - SKODA Kodiaq,272000 DH,Skoda,100 000 - 109 999,,,,Kodiaq,2019,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
فورد تورنيو 2017,PRIX NON SPCIFI,Ford,180 000 - 189 999,Très bon,5,WW au Maroc,Tourneo,2017,Non,"Voitures d'occasion, à vendre",Route d'Agadir - Essaouira,9 CV,Diesel,Manuelle
Renault Exspers,159000 DH,Renault,45 000 - 49 999,Très bon,5,WW au Maroc,EXPRESS,2022,Oui,"Voitures d'occasion, à vendre",Bournazil,6 CV,Diesel,Manuelle
Peugeot 208 1.6 HDi 92 Allure Pack,163000 DH,Peugeot,25 000 - 29 999,Excellent,5,WW au Maroc,208,2021,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Diesel,Manuelle
Renault Clio Diesel Manuelle 2018 à Rabat,PRIX NON SPCIFI,Renault,100 000 - 109 999,Neuf,5,WW au Maroc,Clio,2018,Oui,"Voitures d'occasion, à vendre",Hay Riad,6 CV,Diesel,Manuelle
Renault clio intense Full options,157000 DH,Renault,75 000 - 79 999,Excellent,5,WW au Maroc,Clio,2021,Oui,"Voitures d'occasion, à vendre",Agdal,6 CV,Diesel,Manuelle
Mercedes-Benz Classe GLC Coupé Diesel 2024,PRIX NON SPCIFI,Mercedes-Benz,0 - 4 999,Neuf,5,Importée neuve,CLASSE GLC COUPE,2024,Non,"Voitures d'occasion, à vendre",Yacoub El Mansour,8 CV,Diesel,Automatique
Suzuki Grand Vitara Essence 650 dh vignette,70000 DH,Suzuki,180 000 - 189 999,Excellent,3,WW au Maroc,Grand Vitara,2012,Oui,"Voitures d'occasion, à vendre",Yacoub El Mansour,9 CV,Essence,Manuelle
Volkswagen Golf 8 GTD,PRIX NON SPCIFI,Volkswagen,0 - 4 999,Neuf,5,Importée neuve,GOLF 8,2024,Oui,"Voitures d'occasion, à vendre",Route de Casablanca,8 CV,Diesel,Automatique
Volkswagen Golf 8 GTD Diesel 2024 à Tanger,PRIX NON SPCIFI,Volkswagen,0 - 4 999,Excellent,5,Importée neuve,GOLF 8,2024,,"Voitures d'occasion, à vendre",Centre ville,8 CV,Diesel,Automatique
KIFAL - VOLKSWAGEN Caddy,231000 DH,Volkswagen,150 000 - 159 999,,,,Caddy,2017,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
clio 4 2018 Kenitra 48.000km,118000 DH,Renault,45 000 - 49 999,Excellent,5,WW au Maroc,Clio,2018,Non,"Voitures d'occasion, à vendre",Centre,6 CV,Diesel,Manuelle
Peugeot 5008 GTline Double toit 2020 57000km,289000 DH,Peugeot,55 000 - 59 999,Excellent,5,WW au Maroc,5008,2020,Oui,"Voitures d'occasion, à vendre",Bel Air - Val fleuri,8 CV,Diesel,Automatique
Ford Kuga Diesel Manuelle 2020 à Casablanca,210000 DH,Ford,70 000 - 74 999,Excellent,5,WW au Maroc,Kuga,2020,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Diesel,Manuelle
Peugeot 307,72000 DH,Peugeot,200 000 - 249 999,Très bon,5,WW au Maroc,307,2006,Oui,"Voitures d'occasion, à vendre",Hay el Fath,6 CV,Diesel,Manuelle
Kia Cerato Diesel Manuelle 2006 à Salé,53000 DH,Kia,200 000 - 249 999,,5,,Cerato,2006,,"Voitures d'occasion, à vendre",Hay Salam,8 CV,Diesel,Manuelle
Audi RS3 Berline,PRIX NON SPCIFI,Audi,0 - 4 999,Neuf,5,Importée neuve,RS3,2023,Oui,"Voitures d'occasion, à vendre",Route de Casablanca,14 CV,Essence,Automatique
Volkswagen Touareg Diesel Automatique 2016,PRIX NON SPCIFI,Volkswagen,180 000 - 189 999,Excellent,5,WW au Maroc,Touareg,2016,Non,"Voitures d'occasion, à vendre",Autre secteur,12 CV,Diesel,Automatique
KIFAL - JEEP Grand Cherokee,212000 DH,Jeep,110 000 - 119 999,,,,Grand Cherokee,2017,,"Voitures d'occasion, à vendre",Autre secteur,12 CV,Diesel,
KIFAL - BMW Série 7,230000 DH,BMW,140 000 - 149 999,,,,Serie 7,2013,,"Voitures d'occasion, à vendre",Autre secteur,12 CV,Diesel,
Volkswagen Tiguan Diesel Automatique 2017 à Rabat,PRIX NON SPCIFI,Volkswagen,140 000 - 149 999,Neuf,5,Dédouanée,Tiguan,2017,Oui,"Voitures d'occasion, à vendre",Hay Riad,8 CV,Diesel,Automatique
KIFAL - OPEL Insignia,210000 DH,Opel,75 000 - 79 999,,,,Insignia,2018,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Ford Kuga Diesel Manuelle 2018 à Casablanca,192000 DH,Ford,100 000 - 109 999,Excellent,5,WW au Maroc,Kuga,2018,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Diesel,Manuelle
Mercedes-Benz Classe C Cabriolet Diesel 2017,420000 DH,Mercedes-Benz,100 000 - 109 999,Très bon,3,Importée neuve,classe_c_cabriolet,2017,Oui,"Voitures d'occasion, à vendre",Maarif,9 CV,Diesel,Automatique
Bmw série 1 diwana,90000 DH,BMW,250 000 - 299 999,Très bon,5,Dédouanée,Serie 1,2009,Non,"Voitures d'occasion, à vendre",2 Mars,8 CV,Diesel,Manuelle
Volkswagen Golf 7 Diesel Automatique 2017 à Tanger,PRIX NON SPCIFI,Volkswagen,75 000 - 79 999,Excellent,5,WW au Maroc,GOLF 7,2017,Oui,"Voitures d'occasion, à vendre",Centre ville,8 CV,Diesel,Automatique
Ford Kuga trand plus Automatique 2022 ww,260000 DH,Ford,65 000 - 69 999,Excellent,5,WW au Maroc,Kuga,2022,Oui,"Voitures d'occasion, à vendre",Bourgogne,6 CV,Diesel,Automatique
Mercedes-Benz Classe E Diesel Automatique 2019,369000 DH,Mercedes-Benz,90 000 - 94 999,Excellent,,,Classe E,2019,,"Voitures d'occasion, à vendre",Lissasfa,8 CV,Diesel,Automatique
Fiat Uno Diesel Faire Reprise,25000 DH,Fiat,190 000 - 199 999,,,,Uno,2004,,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
KIFAL - HONDA Jazz,175000 DH,Honda,25 000 - 29 999,,,,Jazz,2021,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Essence,
Volkswagen Tiguan Diesel Manuelle 2016 à Rabat,180000 DH,Volkswagen,110 000 - 119 999,Excellent,5,WW au Maroc,Tiguan,2016,Oui,"Voitures d'occasion, à vendre",Hay Riad,8 CV,Diesel,Manuelle
Opel Astra Diesel Manuelle 2018 à Casablanca,165000 DH,Opel,80 000 - 84 999,Excellent,5,WW au Maroc,Astra,2018,Oui,"Voitures d'occasion, à vendre",Aïn Chock,6 CV,Diesel,Manuelle
Hyundai i 30 Diesel Automatique 2014 à Kénitra,124000 DH,Hyundai,120 000 - 129 999,Très bon,5,WW au Maroc,i 30,2014,Non,"Voitures d'occasion, à vendre",Centre,6 CV,Diesel,Automatique
Seat Ateca Diesel Automatique 2017 à Casablanca,235000 DH,Seat,100 000 - 109 999,Très bon,5,WW au Maroc,Ateca,2017,Non,"Voitures d'occasion, à vendre",Hay Inara,8 CV,Diesel,Automatique
Logan Diesel 2017 Ou Reprise,90000 DH,Dacia,120 000 - 129 999,Bon,5,WW au Maroc,Logan,2017,Non,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
Renault Mégane 2 diesel,PRIX NON SPCIFI,Renault,200 000 - 249 999,Très bon,5,WW au Maroc,Megane,2007,Non,"Voitures d'occasion, à vendre",Centre Ville,6 CV,Diesel,Manuelle
Mercedes-Benz AMG GT Hybride Automatique 2024,PRIX NON SPCIFI,Mercedes-Benz,0 - 4 999,Neuf,5,Importée neuve,AMG GT,2024,Non,"Voitures d'occasion, à vendre",Yacoub El Mansour,27 CV,,Automatique
AUDI RSQ3 2.5 TFSI 400cv CARBONE TOUTES OPTIONS,PRIX NON SPCIFI,Audi,20 000 - 24 999,Neuf,5,Importée neuve,RSQ3,2023,Oui,"Voitures d'occasion, à vendre",Centre,14 CV,Essence,Automatique
Peugeot 206 Essence 2009 À Fès,55000 DH,Peugeot,100 000 - 109 999,Très bon,,WW au Maroc,206,2009,Non,"Voitures d'occasion, à vendre",Oued Fès,6 CV,Essence,Manuelle
BMW Série 5 Diesel Automatique 2014 à Rabat,214000 DH,BMW,160 000 - 169 999,Excellent,5,WW au Maroc,Serie 5,2014,Oui,"Voitures d'occasion, à vendre",Hay el Fath,8 CV,Diesel,Automatique
Mercedes-Benz Classe CLA Diesel Automatique 2021,430000 DH,Mercedes-Benz,110 000 - 119 999,Neuf,5,WW au Maroc,Classe CLA,2021,Oui,"Voitures d'occasion, à vendre",Route de Casablanca,8 CV,Diesel,Automatique
PEUGEOT 208 1.6 HDi 92 Access,135000 DH,Peugeot,70 000 - 74 999,Excellent,,WW au Maroc,208,2022,Oui,"Voitures d'occasion, à vendre",Al Mandar Al Jamil,6 CV,Diesel,Manuelle
Renault Megane 4,PRIX NON SPCIFI,Renault,140 000 - 149 999,Excellent,5,WW au Maroc,megane_4,2019,Oui,"Voitures d'occasion, à vendre",Hay Riad,6 CV,Diesel,Manuelle
Volkswagen Golf 7 Diesel Automatique 2017 à Tanger,PRIX NON SPCIFI,Volkswagen,75 000 - 79 999,Excellent,5,WW au Maroc,GOLF 7,2017,Oui,"Voitures d'occasion, à vendre",Centre ville,8 CV,Diesel,Automatique
Ford Kuga trand plus Automatique 2022 ww,260000 DH,Ford,65 000 - 69 999,Excellent,5,WW au Maroc,Kuga,2022,Oui,"Voitures d'occasion, à vendre",Bourgogne,6 CV,Diesel,Automatique
Mercedes-Benz Classe E Diesel Automatique 2019,369000 DH,Mercedes-Benz,90 000 - 94 999,Excellent,,,Classe E,2019,,"Voitures d'occasion, à vendre",Lissasfa,8 CV,Diesel,Automatique
Fiat Uno Diesel Faire Reprise,25000 DH,Fiat,190 000 - 199 999,,,,Uno,2004,,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
KIFAL - HONDA Jazz,175000 DH,Honda,25 000 - 29 999,,,,Jazz,2021,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Essence,
Volkswagen Tiguan Diesel Manuelle 2016 à Rabat,180000 DH,Volkswagen,110 000 - 119 999,Excellent,5,WW au Maroc,Tiguan,2016,Oui,"Voitures d'occasion, à vendre",Hay Riad,8 CV,Diesel,Manuelle
Opel Astra Diesel Manuelle 2018 à Casablanca,165000 DH,Opel,80 000 - 84 999,Excellent,5,WW au Maroc,Astra,2018,Oui,"Voitures d'occasion, à vendre",Aïn Chock,6 CV,Diesel,Manuelle
Hyundai i 30 Diesel Automatique 2014 à Kénitra,124000 DH,Hyundai,120 000 - 129 999,Très bon,5,WW au Maroc,i 30,2014,Non,"Voitures d'occasion, à vendre",Centre,6 CV,Diesel,Automatique
Seat Ateca Diesel Automatique 2017 à Casablanca,235000 DH,Seat,100 000 - 109 999,Très bon,5,WW au Maroc,Ateca,2017,Non,"Voitures d'occasion, à vendre",Hay Inara,8 CV,Diesel,Automatique
Logan Diesel 2017 Ou Reprise,90000 DH,Dacia,120 000 - 129 999,Bon,5,WW au Maroc,Logan,2017,Non,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
Renault Mégane 2 diesel,PRIX NON SPCIFI,Renault,200 000 - 249 999,Très bon,5,WW au Maroc,Megane,2007,Non,"Voitures d'occasion, à vendre",Centre Ville,6 CV,Diesel,Manuelle
Mercedes-Benz AMG GT Hybride Automatique 2024,PRIX NON SPCIFI,Mercedes-Benz,0 - 4 999,Neuf,5,Importée neuve,AMG GT,2024,Non,"Voitures d'occasion, à vendre",Yacoub El Mansour,27 CV,,Automatique
AUDI RSQ3 2.5 TFSI 400cv CARBONE TOUTES OPTIONS,PRIX NON SPCIFI,Audi,20 000 - 24 999,Neuf,5,Importée neuve,RSQ3,2023,Oui,"Voitures d'occasion, à vendre",Centre,14 CV,Essence,Automatique
Peugeot 206 Essence 2009 À Fès,55000 DH,Peugeot,100 000 - 109 999,Très bon,,WW au Maroc,206,2009,Non,"Voitures d'occasion, à vendre",Oued Fès,6 CV,Essence,Manuelle
BMW Série 5 Diesel Automatique 2014 à Rabat,214000 DH,BMW,160 000 - 169 999,Excellent,5,WW au Maroc,Serie 5,2014,Oui,"Voitures d'occasion, à vendre",Hay el Fath,8 CV,Diesel,Automatique
Mercedes-Benz Classe CLA Diesel Automatique 2021,430000 DH,Mercedes-Benz,110 000 - 119 999,Neuf,5,WW au Maroc,Classe CLA,2021,Oui,"Voitures d'occasion, à vendre",Route de Casablanca,8 CV,Diesel,Automatique
PEUGEOT 208 1.6 HDi 92 Access,135000 DH,Peugeot,70 000 - 74 999,Excellent,,WW au Maroc,208,2022,Oui,"Voitures d'occasion, à vendre",Al Mandar Al Jamil,6 CV,Diesel,Manuelle
Renault Megane 4,PRIX NON SPCIFI,Renault,140 000 - 149 999,Excellent,5,WW au Maroc,megane_4,2019,Oui,"Voitures d'occasion, à vendre",Hay Riad,6 CV,Diesel,Manuelle
BMW X3 Diesel Automatique 2018 à Casablanca,PRIX NON SPCIFI,BMW,100 000 - 109 999,Excellent,5,WW au Maroc,X3,2018,Oui,"Voitures d'occasion, à vendre",Oasis,8 CV,Diesel,Automatique
Land Rover Range Rover Evoque Diesel Automatique,275000 DH,Land Rover,120 000 - 129 999,Très bon,5,WW au Maroc,Range Rover Evoque,2018,Oui,"Voitures d'occasion, à vendre",Hay Targa,8 CV,Diesel,Automatique
BMW Série 1 Diesel Manuelle 2012 à Tanger,136000 DH,BMW,140 000 - 149 999,Neuf,3,Importée neuve,Serie 1,2012,Oui,"Voitures d'occasion, à vendre",Centre ville,8 CV,Diesel,Manuelle
Mercedes classe Ml Diesel,98000 DH,Mercedes-Benz,200 000 - 249 999,Excellent,5,WW au Maroc,CLASSE ML,2011,Non,"Voitures d'occasion, à vendre",Aïn Chock,12 CV,Diesel,Automatique
Renault Clio 4 Limited,143000 DH,Renault,95 000 - 99 999,,,,Clio,2019,,"Voitures d'occasion, à vendre",Aïn Chock,6 CV,Diesel,
Occasion BMW X6,PRIX NON SPCIFI,BMW,130 000 - 139 999,Excellent,5,WW au Maroc,X6,2017,Non,"Voitures d'occasion, à vendre",Hay el Fath,12 CV,Diesel,Automatique
BMW Série 1 Diesel Automatique 2017 à Rabat,PRIX NON SPCIFI,BMW,110 000 - 119 999,Excellent,5,WW au Maroc,Serie 1,2017,Oui,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,Automatique
BMW Série 3.40I Xdrive Pack M,PRIX NON SPCIFI,BMW,20 000 - 24 999,Très bon,5,Dédouanée,M3,2022,Oui,"Voitures d'occasion, à vendre",,14 CV,Essence,Automatique
Rolls-Royce Ghost Black Badge,PRIX NON SPCIFI,Rolls-Royce,0 - 4 999,Neuf,5,Importée neuve,Wraith,2024,Oui,"Voitures d'occasion, à vendre",Route de Casablanca,32 CV,Essence,Automatique
Clio 4 automatique 2020,145000 DH,Renault,55 000 - 59 999,Très bon,5,WW au Maroc,Clio,2020,Oui,"Voitures d'occasion, à vendre",Ben M'sick,6 CV,Diesel,Automatique
Toyota C-HR Hybride Automatique 1er main 2021,218000 DH,Toyota,55 000 - 59 999,Excellent,5,WW au Maroc,C-HR,2021,Oui,"Voitures d'occasion, à vendre",2 Mars,8 CV,,Automatique
Ford Mustang Coupé Essence Automatique 2009,240000 DH,Ford,85 000 - 89 999,Excellent,3,Dédouanée,Mustang,2009,Non,"Voitures d'occasion, à vendre",Hay Targa,23 CV,Essence,Automatique
Seat Leon FR plus facelift 177ch,PRIX NON SPCIFI,Seat,95 000 - 99 999,Neuf,5,WW au Maroc,Leon,2018,Oui,"Voitures d'occasion, à vendre",Hay Riad,8 CV,Diesel,Manuelle
Volkswagen Tiguan Diesel Automatique 2019 à Settat,PRIX NON SPCIFI,Volkswagen,150 000 - 159 999,Très bon,5,Dédouanée,Tiguan,2019,Oui,"Voitures d'occasion, à vendre",Toute la ville,8 CV,Diesel,Automatique
Ford mondeo,39000 DH,Ford,0 - 4 999,Très bon,5,WW au Maroc,Mondeo,2000,Non,"Voitures d'occasion, à vendre",Ahlane,7 CV,Diesel,Manuelle
Occasion Mercedes classe E,PRIX NON SPCIFI,Mercedes-Benz,0 - 4 999,Neuf,5,Importée neuve,Classe E,2023,Oui,"Voitures d'occasion, à vendre",Hay el Fath,9 CV,Diesel,Automatique
Ford C-Max Diesel Manuelle 2013 à Ait Melloul,11300 DH,Ford,20 000 - 24 999,Très bon,5,WW au Maroc,C-Max,2013,Non,"Voitures d'occasion, à vendre",Toute la ville,6 CV,Diesel,Manuelle
Mercedes classe Ml Diesel,98000 DH,Mercedes-Benz,200 000 - 249 999,Excellent,5,WW au Maroc,CLASSE ML,2011,Non,"Voitures d'occasion, à vendre",Aïn Chock,12 CV,Diesel,Automatique
Renault Clio 4 Limited,143000 DH,Renault,95 000 - 99 999,,,,Clio,2019,,"Voitures d'occasion, à vendre",Aïn Chock,6 CV,Diesel,
Occasion BMW X6,PRIX NON SPCIFI,BMW,130 000 - 139 999,Excellent,5,WW au Maroc,X6,2017,Non,"Voitures d'occasion, à vendre",Hay el Fath,12 CV,Diesel,Automatique
BMW Série 1 Diesel Automatique 2017 à Rabat,PRIX NON SPCIFI,BMW,110 000 - 119 999,Excellent,5,WW au Maroc,Serie 1,2017,Oui,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,Automatique
BMW Série 3.40I Xdrive Pack M,PRIX NON SPCIFI,BMW,20 000 - 24 999,Très bon,5,Dédouanée,M3,2022,Oui,"Voitures d'occasion, à vendre",,14 CV,Essence,Automatique
